symbol,full_name,url,catalog_available,remote_status,local_snapshot_available,snapshot_path,config_path
GELYF,Geely Automobile Holdings Limited (GELYF),https://query1.finance.yahoo.com/v7/finance/download/GELYF?period1=1167782400&period2=1607299200&interval=1d&events=history&includeAdjustedClose=true,true,unknown_network_not_checked,false,,~/REPOS/MarketIndicators.jl/data_ingestion/indicators/GELYF/config.yaml
US_BUZ_INV_M,United States Business Inventories m/m,https://www.mql5.com/en/economic-calendar/united-states/business-inventories-mm/export,true,unknown_network_not_checked,false,,~/REPOS/MarketIndicators.jl/data_ingestion/indicators/US_BUZ_INV_M/config.yaml
US_RETAIL_SALES_M,United States Retail Sales m/m,https://www.mql5.com/en/economic-calendar/united-states/retail-sales-mm/export,true,unknown_network_not_checked,false,,~/REPOS/MarketIndicators.jl/data_ingestion/indicators/US_RETAIL_SALES_M/config.yaml
US_INDS_PROD_M,Federal Reserve System (Fed) Industrial Production m/m,https://www.mql5.com/en/economic-calendar/united-states/industrial-production-mm/export,true,unknown_network_not_checked,false,,~/REPOS/MarketIndicators.jl/data_ingestion/indicators/US_INDS_PROD_M/config.yaml
US_INIT_JOB_CLAIM,United States Initial Jobless Claims,https://www.mql5.com/en/economic-calendar/united-states/initial-jobless-claims/export,true,unknown_network_not_checked,false,,~/REPOS/MarketIndicators.jl/data_ingestion/indicators/US_INIT_JOB_CLAIM/config.yaml
US_GDP_Q,United States Gross Domestic Product (GDP) q/q,https://www.mql5.com/en/economic-calendar/united-states/gross-domestic-product-qq/export,true,unknown_network_not_checked,false,,~/REPOS/MarketIndicators.jl/data_ingestion/indicators/US_GDP_Q/config.yaml
US_ISM_MFC_PMI,ISM United States Manufacturing Purchasing Managers Index (PMI),https://www.mql5.com/en/economic-calendar/united-states/ism-manufacturing-pmi/export,true,unknown_network_not_checked,false,,~/REPOS/MarketIndicators.jl/data_ingestion/indicators/US_ISM_MFC_PMI/config.yaml
US_UNEMPLOY_RATE,United States Unemployment Rate,https://www.mql5.com/en/economic-calendar/united-states/unemployment-rate/export,true,unknown_network_not_checked,false,,~/REPOS/MarketIndicators.jl/data_ingestion/indicators/US_UNEMPLOY_RATE/config.yaml
US_BUILD_PERM,United States Building Permits,https://www.mql5.com/en/economic-calendar/united-states/building-permits/export,true,unknown_network_not_checked,false,,~/REPOS/MarketIndicators.jl/data_ingestion/indicators/US_BUILD_PERM/config.yaml
US_PEND_HOME_SALE_M,United States Pending Home Sales m/m,https://www.mql5.com/en/economic-calendar/united-states/pending-home-sales-mm/export,true,unknown_network_not_checked,false,,~/REPOS/MarketIndicators.jl/data_ingestion/indicators/US_PEND_HOME_SALE_M/config.yaml
GER_UNEMPL_CHANGE,Germany Unemployment Change,https://www.mql5.com/en/economic-calendar/germany/unemployment-change/export,true,unknown_network_not_checked,false,,~/REPOS/MarketIndicators.jl/data_ingestion/indicators/GER_UNEMPL_CHANGE/config.yaml
GER_RET_SALES_M,Germany Retail Sales m/m,https://www.mql5.com/en/economic-calendar/germany/retail-sales-mm/export,true,unknown_network_not_checked,false,,~/REPOS/MarketIndicators.jl/data_ingestion/indicators/GER_RET_SALES_M/config.yaml
BYDDF,BYD Company Limited (BYDDF),https://query1.finance.yahoo.com/v7/finance/download/BYDDF?period1=1234483200&period2=1607299200&interval=1d&events=history&includeAdjustedClose=true,true,unknown_network_not_checked,false,,~/REPOS/MarketIndicators.jl/data_ingestion/indicators/BYDDF/config.yaml
RERGX,American Funds EuroPacific Growth Fund Class R-6 (RERGX),https://query1.finance.yahoo.com/v7/finance/download/RERGX?period1=1241136000&period2=1602028800&interval=1d&events=history,true,unknown_network_not_checked,true,~/REPOS/MarketIndicators.jl/OLD/src/DATA/original/RERGX.csv,~/REPOS/MarketIndicators.jl/data_ingestion/indicators/RERGX/config.yaml
TSLA,"Tesla, Inc. (TSLA)",https://query1.finance.yahoo.com/v7/finance/download/TSLA?period1=1277769600&period2=1602028800&interval=1d&events=history,true,unknown_network_not_checked,true,~/REPOS/MarketIndicators.jl/OLD/src/DATA/original/TSLA.csv,~/REPOS/MarketIndicators.jl/data_ingestion/indicators/TSLA/config.yaml
DALLAS_FED_MFC,Federal Reserve Bank (Fed) of Dallas Manufacturing Index,https://www.mql5.com/en/economic-calendar/united-states/dallas-fed-manufacturing-business-index/export,true,unknown_network_not_checked,false,,~/REPOS/MarketIndicators.jl/data_ingestion/indicators/DALLAS_FED_MFC/config.yaml
FB,"Facebook, Inc. (FB)",https://query1.finance.yahoo.com/v7/finance/download/FB?period1=1337299200&period2=1607990400&interval=1d&events=history&includeAdjustedClose=true,true,unknown_network_not_checked,false,,~/REPOS/MarketIndicators.jl/data_ingestion/indicators/FB/config.yaml
NRMGX,Neuberger Berman Mid Cap Growth Fund Class R6 (NRMGX),https://query1.finance.yahoo.com/v7/finance/download/NRMGX?period1=1363305600&period2=1602028800&interval=1d&events=history,true,unknown_network_not_checked,true,~/REPOS/MarketIndicators.jl/OLD/src/DATA/original/NRMGX.csv,~/REPOS/MarketIndicators.jl/data_ingestion/indicators/NRMGX/config.yaml
US_ISM_MFC_EMPL,ISM Manufacturing Employment,https://www.mql5.com/en/economic-calendar/united-states/ism-manufacturing-employment/export,true,unknown_network_not_checked,false,,~/REPOS/MarketIndicators.jl/data_ingestion/indicators/US_ISM_MFC_EMPL/config.yaml
BTC_USD,Bitcoin USD (BTC-USD),https://query1.finance.yahoo.com/v7/finance/download/BTC-USD?period1=1410825600&period2=1602633600&interval=1d&events=history&includeAdjustedClose=true,true,unknown_network_not_checked,false,,~/REPOS/MarketIndicators.jl/data_ingestion/indicators/BTC_USD/config.yaml
BABA,Alibaba Group Holding Limited (BABA),https://query1.finance.yahoo.com/v7/finance/download/BABA?period1=1411084800&period2=1602633600&interval=1d&events=history&includeAdjustedClose=true,true,unknown_network_not_checked,true,~/REPOS/MarketIndicators.jl/OLD/src/DATA/original/BABA.csv,~/REPOS/MarketIndicators.jl/data_ingestion/indicators/BABA/config.yaml
ARKW,ARK Next Generation Internet ETF (ARKW),https://query1.finance.yahoo.com/v7/finance/download/ARKW?period1=1412035200&period2=1608249600&interval=1d&events=history&includeAdjustedClose=true,true,unknown_network_not_checked,false,,~/REPOS/MarketIndicators.jl/data_ingestion/indicators/ARKW/config.yaml
ARKK,ARK Innovation ETF (ARKK),https://query1.finance.yahoo.com/v7/finance/download/ARKK?period1=1414713600&period2=1608249600&interval=1d&events=history&includeAdjustedClose=true,true,unknown_network_not_checked,false,,~/REPOS/MarketIndicators.jl/data_ingestion/indicators/ARKK/config.yaml
IND_TRD_BALANCE,India Goods Trade Balance,https://www.mql5.com/en/economic-calendar/india/goods-trade-balance/export,true,unknown_network_not_checked,false,,~/REPOS/MarketIndicators.jl/data_ingestion/indicators/IND_TRD_BALANCE/config.yaml
US_HOUS_STRS_M,United States Housing Starts m/m,https://www.mql5.com/en/economic-calendar/united-states/housing-starts-mm/export,true,unknown_network_not_checked,false,,~/REPOS/MarketIndicators.jl/data_ingestion/indicators/US_HOUS_STRS_M/config.yaml
CRSP,CRISPR Therapeutics AG (CRSP),https://query1.finance.yahoo.com/v7/finance/download/CRSP?period1=1476835200&period2=1607299200&interval=1d&events=history&includeAdjustedClose=true,true,unknown_network_not_checked,false,,~/REPOS/MarketIndicators.jl/data_ingestion/indicators/CRSP/config.yaml
ARKG,ARK Genomic Revolution ETF (ARKG),https://query1.finance.yahoo.com/v7/finance/download/ARKG?period1=1577404800&period2=1608249600&interval=1d&events=history&includeAdjustedClose=true,true,unknown_network_not_checked,false,,~/REPOS/MarketIndicators.jl/data_ingestion/indicators/ARKG/config.yaml
ARKQ,ARK Autonomous Technology & Robotics ETF (ARKQ),https://query1.finance.yahoo.com/v7/finance/download/ARKQ?period1=1577750400&period2=1608249600&interval=1d&events=history&includeAdjustedClose=true,true,unknown_network_not_checked,false,,~/REPOS/MarketIndicators.jl/data_ingestion/indicators/ARKQ/config.yaml
